"Index"	"country"	"country_code"	"1950-1955"	"1955-1960"	"1960-1965"	"1965-1970"	"1970-1975"	"1975-1980"	"1980-1985"	"1985-1990"	"1990-1995"	"1995-2000"	"2000-2005"	"2005-2010"	"2010-2015"	"2015-2020"	"2020-2025"	"2025-2030"	"2030-2035"	"2035-2040"	"2040-2045"	"2045-2050"	"2050-2055"	"2055-2060"	"2060-2065"	"2065-2070"	"2070-2075"	"2075-2080"	"2080-2085"	"2085-2090"	"2090-2095"	"2095-2100"	"last.observed"
11	"Bahrain"	48	38.82	44.62	52.15	58.88	63.53	66.97	69.57	71.33	72.52	73.36	74.37	75.85	75.52	76.04	76.67	77.33	77.95	78.66	79.37	80.05	80.61	81.15	81.74	82.27	82.85	83.45	83.96	84.51	85.06	85.65	"2008"
12	"Bangladesh"	50	44.52	46.23	49.31	50.95	46.85	53.88	56.52	59.1	61.46	63.96	66.1	67.81	69.7	71.38	72.86	74.06	75.21	76.32	77.39	78.32	79.4	80.24	81	81.8	82.61	83.42	84.17	84.86	85.61	86.36	"2008"
13	"Barbados"	52	54.72	57.37	59.72	61.79	63.63	65.27	66.72	68.03	69.2	70.25	71.2	72.07	72.57	73.07	73.57	74.07	74.57	75.07	75.57	76.07	76.57	77.07	77.57	78.07	78.57	79.07	79.57	80.07	80.57	81.07	"2008"
14	"Belarus"	112	57.6	63.27	65.99	66.73	66.41	66.01	65.35	66.44	63.95	61.97	62.32	63.56	64.14	66.45	67.63	68.7	69.68	70.58	71.4	72.17	73.02	73.85	74.62	75.34	76.01	76.65	77.26	77.85	78.41	78.95	"2008"
15	"Belgium"	56	65.13	66.71	67.28	67.62	68.22	69.29	70.46	71.77	72.97	74.03	75.19	76.71	77.86	78.79	79.52	80.1	80.66	81.21	81.75	82.28	82.81	83.33	83.84	84.36	84.86	85.37	85.87	86.37	86.87	87.37	"2008"
16	"Bhutan"	64	28.79	30.93	33.11	35.27	38.99	43.2	46.98	50.64	54.54	58.38	62	65.47	68.07	70.23	71.88	73.13	74.27	75.55	76.75	77.88	78.91	79.86	80.71	81.52	82.29	83.06	83.78	84.48	85.16	85.89	"2008"
17	"Bolivia (Plurinational State of)"	68	38.49	39.9	41.39	42.95	44.58	48.04	52	55.6	58.32	60.09	61.8	63.43	65.03	66.58	68.05	69.44	70.73	71.92	73.01	74	74	74	74	74	74	74	74	74	74	74	"2008"
18	"Bosnia and Herzegovina"	70	52.62	56.93	60.15	62.68	65.31	67.24	67.8	69.2	55.82	70.49	71.61	72.42	73.3	73.95	74.56	75.21	75.89	76.54	77.16	77.74	78.31	78.86	79.39	79.9	80.4	80.89	81.37	81.84	82.31	82.77	"2008"
19	"Brazil"	76	49.32	51.6	54.02	55.94	57.57	59.54	60.42	62.01	63.72	65.69	67.31	68.85	69.98	71.28	72.25	73.14	73.96	74.71	75.39	76	76	76	76	76	76	76	76	76	76	76	"2008"
20	"Brunei Darussalam"	96	56.32	59.44	62.42	64.65	66.62	68.35	69.89	71.27	72.52	73.64	74.67	75.61	75	76.61	77.22	77.75	78.21	78.65	79.07	79.49	79.9	80.3	80.69	81.07	81.44	81.82	82.18	82.54	82.89	83.22	"2008"
