"Index"	"country"	"country_code"	"1950-1955"	"1955-1960"	"1960-1965"	"1965-1970"	"1970-1975"	"1975-1980"	"1980-1985"	"1985-1990"	"1990-1995"	"1995-2000"	"2000-2005"	"2005-2010"	"2010-2015"	"2015-2020"	"2020-2025"	"2025-2030"	"2030-2035"	"2035-2040"	"2040-2045"	"2045-2050"	"2050-2055"	"2055-2060"	"2060-2065"	"2065-2070"	"2070-2075"	"2075-2080"	"2080-2085"	"2085-2090"	"2090-2095"	"2095-2100"
192	"Costa Rica"	188	58.63	61.54	64.53	67.47	70.24	73.33	76.11	77.54	78.64	79.75	80.66	81.36	81.99	82.54	83.1	83.6	84.1	84.66	85.22	85.76	86.31	86.84	87.37	87.91	88.42	88.92	89.43	89.93	90.43	90.92
193	"El Salvador"	222	46.78	51.47	55.7	58.86	61.18	62.79	64.29	69.22	73.04	74.11	75.12	76.08	77.09	78.01	78.83	79.56	80.25	80.89	81.51	82.09	82.65	83.18	83.7	84.2	84.68	85.16	85.62	86.08	86.53	86.97
194	"Guatemala"	320	43.33	45.37	48.13	51.32	55.41	58.18	60.76	63.79	66.87	69.99	72.51	73.79	75.1	76.22	77.21	78.08	78.88	79.62	80.31	80.95	81.56	82.15	82.7	83.23	83.75	84.25	84.74	85.21	85.67	86.13
195	"Honduras"	340	43.02	46.1	49.75	52.9	56.01	59.65	63.52	67.34	69.63	72.12	73.39	74.51	75.92	76.95	77.85	78.69	79.44	80.13	80.77	81.39	81.97	82.53	83.07	83.6	84.09	84.6	85.06	85.53	85.98	86.43
196	"Mexico"	484	52.58	57.23	60.56	62.47	65.13	68.53	71.15	72.98	74.62	76.08	77.37	78.63	79.64	80.44	81.2	81.89	82.55	83.13	83.65	84.15	84.64	85.12	85.58	86.04	86.49	86.93	87.36	87.77	88.2	88.62
197	"Nicaragua"	558	43.54	46.71	50.04	53.37	56.78	59.98	62.57	65.46	68.66	71.04	73.87	76.12	77.45	78.35	79.12	79.84	80.51	81.14	81.75	82.32	82.87	83.4	83.9	84.4	84.86	85.33	85.79	86.25	86.7	87.13
198	"Panama"	591	56.84	60.55	63.09	65.48	68.02	71.08	73.26	74.57	75.61	76.38	77.32	78.21	79.07	79.81	80.46	81.11	81.71	82.31	82.96	83.57	84.16	84.76	85.32	85.87	86.42	86.94	87.47	88	88.51	89
199	"South America"	931	53.81761939	56.50347138	58.8657697	60.8196002	63.08225577	65.34806923	68.20172161	70.23489071	72.12255021	73.84681898	75.33654148	76.50588987	77.7171846	78.62605921	79.41868983	80.14832526	80.83675056	81.4766171	82.06603096	82.62027572	83.15021237	83.65504805	84.13987546	84.6095032	85.05986077	85.50509868	85.94382498	86.36328554	86.76015715	87.16994759
200	"Argentina"	32	65.1	67.4	68.57	69.28	70.73	72.17	73.69	74.57	75.75	76.92	78.09	79.07	79.89	80.75	81.48	82.15	82.81	83.43	83.99	84.48	84.94	85.41	85.87	86.32	86.78	87.21	87.65	88.07	88.49	88.91
201	"Bolivia (Plurinational State of)"	68	42.5	43.99	45.58	47.24	48.99	52.16	55.89	59.1	61.82	64.04	65.99	67.7	69.4	71.06	72.71	74.14	75.37	76.44	77.42	78.31	79.13	79.91	80.47	81.11	81.69	82.26	82.82	83.35	83.86	84.36
202	"Brazil"	76	52.62	55.18	57.57	59.62	61.83	63.87	66.78	69.06	71.24	73.26	74.76	75.93	77.41	78.35	79.15	79.89	80.57	81.21	81.8	82.36	82.89	83.38	83.87	84.34	84.79	85.22	85.64	86.06	86.44	86.83
203	"Chile"	152	56.76	58.68	60.95	63.9	66.96	70.78	74.35	75.98	77.44	78.86	80.92	81.68	82.35	83.02	83.62	84.23	84.8	85.27	85.63	85.96	86.31	86.65	86.99	87.32	87.65	87.99	88.31	88.62	88.95	89.27
204	"Colombia"	170	52.33	56.87	59.67	61.83	63.85	66.25	70.23	71.7	73.04	74.24	75.45	76.66	77.69	78.55	79.3	80	80.68	81.31	81.9	82.46	83.01	83.53	84.01	84.51	84.99	85.45	85.91	86.36	86.8	87.24
