"Index"	"country"	"country_code"	"1950-1955"	"1955-1960"	"1960-1965"	"1965-1970"	"1970-1975"	"1975-1980"	"1980-1985"	"1985-1990"	"1990-1995"	"1995-2000"	"2000-2005"	"2005-2010"
41	"Libyan Arab Jamahiriya"	434	43.9	46.6	49.2	51.8	54.5	59.3	64.2	68.9	71.7	74.5	75.67	76.87
42	"Morocco"	504	43.9	46.6	49.2	51.8	54.5	57.5	61.5	64.6	67.5	69.8	71.8	73.44
43	"Sudan"	736	42.95	43.95	45.21	47.02	48.69	50.16	51.7	53.17	55.06	56.98	58.36	59.53
44	"Tunisia"	788	45.1	47.6	50.1	52.6	56.1	61	65.7	68.83	72.1	74.02	75.12	76.04
45	"Western Sahara"	732	37.1	39.1	41	43	45.1	49.42	53.73	58.05	60.55	63.05	65.8	68.07
46	"Southern Africa"	913	45.86	49.26	51.75	54.11	56.22	58.51	61.36	63.99	64.95	61.73	54.86	53.03
47	"Botswana"	72	49.53	51.45	53.25	54.96	57.76	61.18	63.4	65.65	65.47	57.12	48.71	54.75
48	"Lesotho"	426	43.79	46.69	49.37	50.09	51.33	53.77	56.87	58.9	62.06	57.58	47.45	45.77
49	"Namibia"	516	44.08	47.46	50.55	53.2	55.86	58.39	61.12	62.9	64.91	63.62	57.8	62.26
50	"South Africa"	710	46	49.5	52	54.5	56.59	58.81	61.65	64.34	65.17	62.16	55.54	53.16
51	"Swaziland"	748	43.43	45.4	46.95	48.55	51.48	54.43	57.98	61.12	62.8	58.05	46.77	45.2
52	"Western Africa"	914	37.77	39.1	40.48	41.82	43.61	46.3	47.5	47.98	48.34	49.14	50.49	51.84
53	"Benin"	204	38.46	40.66	42.99	45.39	48.25	51.17	52.77	53.96	56.29	58.62	60.17	62.34
54	"Burkina Faso"	854	34.12	36.37	38.93	41.08	42.8	44.78	46.25	47.63	48.85	50.47	52.34	54.15
55	"Cape Verde"	132	50	52.5	54.5	57	59	61.5	65.06	67.27	69.2	70.6	72.13	73.64
56	"Cote d'Ivoire"	384	38.68	40.81	43.58	46.22	51.45	56.45	58.26	59.17	59.56	58.37	56.98	58.61
57	"Gambia"	270	34.77	36.62	38.49	40.62	43.27	46.32	49.3	51.73	53.42	54.81	56.15	57.42
58	"Ghana"	288	44.77	46.41	47.8	49.23	51.37	53.58	55.17	56.64	59.9	59.53	58.06	57.41
59	"Guinea"	324	36.17	36.94	37.98	39.29	40.81	43.32	45.73	48.25	51.15	53.62	56.73	59.62
60	"Guinea-Bissau"	624	33.84	35.18	36.55	37.89	39.23	40.55	42.69	44.92	45.59	46.75	47.99	49.22
61	"Liberia"	430	38.69	41	43.24	45.38	47.45	49.44	49.48	49.48	51.71	54.57	57.33	59.44
