"Index"	"country"	"country_code"	"1950-1955"	"1955-1960"	"1960-1965"	"1965-1970"	"1970-1975"	"1975-1980"	"1980-1985"	"1985-1990"	"1990-1995"	"1995-2000"	"2000-2005"	"2005-2010"
46	"Southern Africa"	913	43.59	46.14	47.75	49.25	50.83	52.47	54.88	57.1	57.87	55.21	50.45	50.06
47	"Botswana"	72	45.64	47.72	49.67	51.47	54.08	57.19	59.31	61.43	60.93	53.33	47.48	54.64
48	"Lesotho"	426	40.36	43.32	46.02	46.74	48.05	50.48	53.46	55.38	58.28	53.02	44.03	44.47
49	"Namibia"	516	39.49	43.09	46.3	49.19	51.94	54.56	57.15	58.91	60.93	59.75	55.41	60.3
50	"South Africa"	710	44	46.5	48	49.52	51	52.5	54.86	57.1	57.75	55.31	50.75	49.88
51	"Swaziland"	748	39.44	41.5	43.07	44.71	47.6	50.62	54.09	57	58.48	53.96	45.35	46.34
52	"Western Africa"	914	35.43	36.77	38.17	39.5	41.27	43.9	45.03	45.66	46.3	47.25	48.82	50.22
53	"Benin"	204	36.27	38.44	40.71	42.88	45.27	47.9	49.76	51.29	53.88	56.24	57.96	60.06
54	"Burkina Faso"	854	33.33	35.6	38.12	40.2	41.81	43.63	44.95	46.12	47.08	48.48	50.09	51.56
55	"Cape Verde"	132	47	49.5	51.5	54	56	58.5	60.7	62.42	64.15	65.38	66.81	68.3
56	"Cote d'Ivoire"	384	36.04	38.16	40.66	43.18	48.21	52.98	54.5	55.33	55.53	54.4	53.84	56.01
57	"Gambia"	270	32.19	34.04	35.9	38.02	40.64	43.67	46.58	48.91	50.5	51.79	53.01	54.16
58	"Ghana"	288	42.37	43.98	45.3	46.7	48.78	51.01	52.57	54.42	57.85	57.85	56.09	55.62
59	"Guinea"	324	33.8	34.86	36.16	37.65	39.23	41.52	43.62	45.73	48.14	50.11	52.9	55.59
60	"Guinea-Bissau"	624	31.22	32.54	33.89	35.22	36.56	37.83	39.97	41.97	42.66	43.86	44.85	46.1
61	"Liberia"	430	35.03	37.28	39.47	41.54	43.51	45.43	45.63	45.67	48.24	51.27	54.37	56.7
62	"Mali"	466	34.96	35.46	35.98	36.61	37.6	38.9	40.35	41.93	43.08	44.33	45.86	47.56
63	"Mauritania"	478	41.32	42.82	44.29	45.74	47.33	49.84	52.32	53.53	54.18	54.59	54.63	54.65
64	"Niger"	562	37.17	37.39	37.63	37.91	38.34	38.96	39.72	40.69	42.14	44.29	47.45	50.26
65	"Nigeria"	566	34.67	35.87	37.18	38.36	39.92	42.8	43.53	43.51	43.58	44.4	46.15	47.29
66	"Senegal"	686	37.76	39	39.98	41.01	42.61	44.99	47.66	49.95	51.38	52.26	53.1	53.94
67	"Sierra Leone"	694	30.08	31	31.98	33.44	35.66	39.03	40.81	40.29	36.56	37.56	43.43	46.13
68	"Togo"	768	39.89	42.29	44.29	46.44	49.08	51.87	54.06	55.32	56.03	57.08	58.34	60.67
69	"ASIA"	935	40.59	43.84	47.65	53.1	55.88	58.1	59.88	61.54	62.82	64.33	65.89	67.08
70	"Eastern Asia"	906	41.32	45.11	50.35	59.51	63.06	65.1	66.09	66.93	68.29	69.74	71.29	72.13
71	"China"	156	39.3	43.1	48.7	58.8	62.5	64.45	65.32	66.03	67.42	68.96	70.5	71.33
72	"China, Hong Kong SAR"	344	57.2	61	64	66.5	68.5	70.5	72.6	74.29	75.5	77.2	78.61	79.38
73	"China, Macao SAR"	446	51.5	54.5	58.5	62.5	64	67	71.5	73.5	75.2	76.5	77.02	78.54
74	"Dem. People's Republic of Korea"	408	48.5	52.4	54.8	57.6	60.8	63.5	65.4	67	66.08	64	64.18	65.06
75	"Japan"	392	60.38	64.05	66.47	68.64	70.43	72.61	74.09	75.5	76.25	77.05	78.3	79.01
